state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,recharge_total,minutes_total,calls_total,rechargesPerMinute,cluster,prob
AL,96,area_code_415,1,0,0,200.6,117,34.1,289.5,120,24.61,98.3,95,4.42,11.2,5,3.02,2,0,66.15,599.6,339,0.11032354903268847,1,0.0015785806
WV,11,area_code_510,0,1,38,209.8,130,35.67,196.6,84,16.71,233.0,79,10.49,7.0,7,1.89,1,0,64.76,646.4,301,0.10018564356435644,0,2.600433e-05
WV,48,area_code_415,0,1,34,198.0,70,33.66,273.7,121,23.26,217.9,71,9.81,7.6,4,2.05,1,0,68.78,697.2,267,0.09865174985656913,0,5.5336634e-05
NJ,127,area_code_510,0,0,0,239.8,107,40.77,128.9,121,10.96,249.9,110,11.25,11.3,5,3.05,1,0,66.03,629.9,344,0.1048261628829973,1,0.00011864262
TN,63,area_code_415,0,0,0,164.5,75,27.97,147.9,118,12.57,252.7,97,11.37,11.2,2,3.02,0,0,54.93,576.3,292,0.09531494013534618,2,8.651557e-06
MI,79,area_code_510,0,0,0,220.9,107,37.55,192.2,97,16.34,161.0,74,7.25,12.2,2,3.29,1,0,64.43,586.3000000000001,281,0.10989254647791233,1,0.00022526144
UT,47,area_code_408,0,1,37,112.8,150,19.18,243.9,97,20.73,178.7,112,8.04,13.2,6,3.56,2,0,51.51,548.6,367,0.09389354721108274,0,0.0007491516
IL,89,area_code_415,1,1,19,112.6,114,19.14,261.7,132,22.24,123.5,116,5.56,11.1,2,3.0,0,1,49.94,508.9,364,0.09813322853212812,3,0.9910978
MI,83,area_code_510,0,1,26,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,10.8,7,2.92,1,0,67.37,605.5,304,0.1112634186622626,0,1.3182484e-05
WI,126,area_code_415,1,1,34,244.9,118,41.63,219.6,105,18.67,210.8,136,9.49,9.7,6,2.62,4,0,72.41000000000001,685.0,369,0.1057080291970803,0,0.001430925
ND,60,area_code_510,0,0,0,203.2,99,34.54,235.8,131,20.04,224.9,112,10.12,15.1,6,4.08,2,0,68.78,679.0,350,0.10129602356406481,1,0.00021508595
VT,122,area_code_415,0,0,0,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32,0,0,54.72,577.3,366,0.09478607309890871,2,0.00012300783
WA,136,area_code_408,0,0,0,152.6,97,25.94,208.9,85,17.76,119.1,99,5.36,5.0,10,1.35,1,0,50.410000000000004,485.6,292,0.10380971993410214,2,0.00031075595
NC,172,area_code_408,0,1,47,274.9,102,46.73,186.6,118,15.86,245.0,123,11.03,8.8,2,2.38,1,0,75.99999999999999,715.3,346,0.10624912624073814,0,0.008306005
ME,102,area_code_510,0,0,0,195.7,116,33.27,209.1,87,17.77,201.1,73,9.05,8.3,3,2.24,1,1,62.330000000000005,614.1999999999999,280,0.10148160208401175,3,0.98261607
SD,113,area_code_415,1,0,0,204.3,82,34.73,188.8,115,16.05,139.4,97,6.27,9.2,7,2.48,1,0,59.529999999999994,541.7,302,0.10989477570611038,1,0.0006586202
WV,79,area_code_415,0,0,0,222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,8.9,4,2.4,3,0,65.02,653.0,270,0.09957120980091883,1,2.5767373e-05
ID,55,area_code_510,0,1,8,222.5,104,37.83,171.5,94,14.58,377.5,114,16.99,9.7,2,2.62,1,0,72.02,781.2,315,0.09219150025601637,1,0.00021329429
LA,111,area_code_415,0,1,28,128.8,104,21.9,157.3,52,13.37,147.4,76,6.63,10.3,2,2.78,2,0,44.68,443.8,236,0.1006759801712483,0,0.0013587542
GA,160,area_code_415,0,0,0,174.3,105,29.63,171.3,107,14.56,220.8,131,9.94,8.3,2,2.24,0,0,56.37,574.7,345,0.09808595789107359,1,0.008322006
FL,110,area_code_415,0,0,0,242.5,110,41.23,162.3,140,13.8,184.1,86,8.28,7.8,3,2.11,4,0,65.42,596.6999999999999,343,0.10963633316574495,1,0.00019155364
CO,192,area_code_415,0,0,0,221.6,101,37.67,285.2,50,24.24,167.4,83,7.53,12.7,6,3.43,4,0,72.87,686.9,244,0.10608531081671278,1,0.0008784659
NV,93,area_code_408,0,0,0,114.3,100,19.43,221.1,103,18.79,126.3,88,5.68,10.9,9,2.94,0,0,46.839999999999996,472.59999999999997,300,0.09911129919593736,2,3.5346304e-05
IN,101,area_code_415,0,1,33,219.7,137,37.35,186.8,94,15.88,184.5,113,8.3,9.5,2,2.57,2,0,64.1,600.5,348,0.106744379683597,0,0.00067229837
VA,77,area_code_510,0,0,0,144.9,136,24.63,151.3,115,12.86,252.4,73,11.36,12.3,3,3.32,2,0,52.169999999999995,560.9,329,0.09301123194865395,2,3.8775528e-05
UT,105,area_code_415,0,1,40,236.5,111,40.21,117.0,110,9.95,221.1,115,9.95,8.1,3,2.19,2,0,62.3,582.7,341,0.10691608031577139,0,0.001113985
UT,133,area_code_408,0,1,44,174.0,80,29.58,209.4,113,17.8,224.1,87,10.08,14.1,7,3.81,2,1,61.269999999999996,621.6,289,0.09856821106821106,3,0.98272794
MO,131,area_code_408,0,0,0,109.5,95,18.62,332.1,48,28.23,258.6,108,11.64,6.6,7,1.78,1,0,60.27,706.8000000000001,259,0.08527164685908319,2,1.4611849e-05
CT,106,area_code_510,0,1,33,81.6,120,13.87,235.6,85,20.03,150.9,113,6.79,9.9,4,2.67,1,0,43.36,478.0,323,0.09071129707112971,0,6.594157e-05
HI,118,area_code_415,0,0,0,133.4,113,22.68,121.0,92,10.29,254.7,129,11.46,5.9,4,1.59,1,0,46.02,515.0,339,0.08935922330097087,2,0.00012434743
MD,125,area_code_408,0,0,0,137.1,94,23.31,209.8,83,17.83,238.4,114,10.73,8.6,4,2.32,1,0,54.190000000000005,593.9,296,0.09124431722512209,2,0.00026316955
VA,95,area_code_415,0,0,0,197.0,88,33.49,190.4,68,16.18,211.9,104,9.54,16.1,8,4.35,0,0,63.56,615.4,268,0.10328241793955152,1,0.00037278445
MT,80,area_code_415,0,0,0,198.1,160,33.68,156.7,87,13.32,182.1,76,8.19,9.3,3,2.51,3,0,57.699999999999996,546.1999999999999,329,0.1056389600878799,1,0.0001804234
SC,145,area_code_408,0,0,0,39.5,78,6.72,264.3,106,22.47,185.8,90,8.36,10.0,6,2.7,0,0,40.25,499.6,280,0.080564451561249,2,1.3090916e-05
CO,37,area_code_408,0,0,0,199.5,107,33.92,207.5,110,17.64,83.9,123,3.78,8.1,4,2.19,2,0,57.53,499.0,346,0.11529058116232466,1,0.00092154514
ID,87,area_code_415,0,0,0,156.8,93,26.66,215.8,68,18.34,223.3,77,10.05,7.6,6,2.05,1,0,57.099999999999994,603.5000000000001,245,0.09461474730737363,1,1.8203258e-05
AL,69,area_code_415,0,0,0,183.4,85,31.18,237.6,100,20.2,228.0,94,10.26,9.0,5,2.43,3,0,64.07,658.0,287,0.097370820668693,1,0.0001179913
CO,83,area_code_510,0,0,0,132.4,120,22.51,121.6,101,10.34,197.7,84,8.9,8.6,2,2.32,1,0,44.07,460.3,308,0.09574190745166196,2,0.00076889206
UT,195,area_code_415,0,0,0,63.2,108,10.74,220.2,88,18.72,184.0,99,8.28,5.1,3,1.38,0,0,39.120000000000005,472.5,298,0.08279365079365081,2,0.0003692531
DE,67,area_code_415,1,1,35,181.1,59,30.79,215.9,116,18.35,216.3,106,9.73,16.9,4,4.56,0,1,63.43000000000001,630.1999999999999,285,0.10065058711520154,3,0.99580306
OH,75,area_code_510,0,1,27,117.5,102,19.98,206.8,127,17.58,194.4,114,8.75,4.2,7,1.13,3,0,47.440000000000005,522.9000000000001,353,0.09072480397781602,0,0.0006231801
RI,123,area_code_415,0,1,27,218.7,79,37.18,163.4,78,13.89,173.8,116,7.82,15.0,1,4.05,0,0,62.94,570.9000000000001,274,0.11024697845507092,0,0.0029472117
FL,41,area_code_415,0,1,41,207.3,95,35.24,137.3,120,11.67,115.7,74,5.21,5.9,3,1.59,1,0,53.71000000000001,466.2,293,0.11520806520806523,0,0.0012514241
OH,75,area_code_415,0,0,0,150.6,99,25.6,301.5,83,25.63,158.7,104,7.14,8.1,5,2.19,0,0,60.56,618.9,291,0.09785102601389563,1,1.3925815e-05
MD,76,area_code_415,1,0,0,273.3,66,46.46,263.6,121,22.41,165.2,84,7.43,12.0,7,3.24,1,1,79.54,714.1000000000001,279,0.11138496008962329,3,0.9994456
IL,86,area_code_415,1,0,0,266.1,120,45.24,182.0,92,15.47,206.5,103,9.29,10.3,4,2.78,1,0,72.78,664.9,320,0.10946006918333584,1,0.0023777483
PA,140,area_code_408,0,0,0,112.8,89,19.18,156.7,65,13.32,249.6,85,11.23,16.3,6,4.4,0,0,48.13,535.4,245,0.08989540530444529,2,0.0002897412
AZ,70,area_code_415,0,0,0,104.7,112,17.8,82.2,104,6.99,169.4,110,7.62,15.8,7,4.27,3,0,36.67999999999999,372.1,336,0.09857565170653047,2,0.0025289163
NH,121,area_code_510,0,1,35,193.8,62,32.95,197.6,97,16.8,218.8,95,9.85,5.9,4,1.59,0,0,61.190000000000005,616.1,258,0.0993182924849862,0,1.4523229e-05
RI,112,area_code_415,0,0,0,168.6,102,28.66,298.0,117,25.33,194.7,110,8.76,9.8,5,2.65,1,0,65.39999999999999,671.0999999999999,335,0.09745194456861869,1,0.0004677073
HI,118,area_code_415,0,0,0,253.2,122,43.04,201.0,78,17.09,195.3,108,8.79,9.7,7,2.62,2,0,71.53999999999999,659.2,317,0.10852548543689318,1,4.4917797e-05
NJ,66,area_code_415,0,1,16,174.7,92,29.7,232.1,105,19.73,305.4,98,13.74,8.9,2,2.4,1,0,65.57000000000001,721.0999999999999,298,0.09093052281237002,0,0.0007518815
WI,78,area_code_408,0,0,0,87.0,102,14.79,193.6,64,16.46,205.8,120,9.26,11.0,5,2.97,0,0,43.48,497.40000000000003,291,0.08741455568958584,2,0.0006731164
MD,129,area_code_415,0,1,34,204.5,79,34.77,132.8,113,11.29,190.1,117,8.55,14.8,9,4.0,2,0,58.61,542.1999999999999,320,0.1080966433050535,0,0.00038033695
OR,6,area_code_408,0,0,0,226.5,93,38.51,152.1,122,12.93,164.4,98,7.4,9.4,4,2.54,3,0,61.379999999999995,552.4,320,0.1111151339608979,1,0.00029713608
NV,107,area_code_510,1,0,0,234.1,91,39.8,163.1,105,13.86,282.5,100,12.71,10.0,3,2.7,1,0,69.07000000000001,689.7,300,0.10014499057561259,1,0.00016189677
AR,107,area_code_415,1,0,0,133.3,106,22.66,182.9,89,15.55,241.1,123,10.85,12.9,2,3.48,3,1,52.54,570.2,323,0.09214310768151525,3,0.99963546
MT,138,area_code_415,0,0,0,133.9,87,22.76,166.4,110,14.14,193.5,139,8.71,15.4,3,4.16,1,0,49.77000000000001,509.2,340,0.09774155538098982,2,0.00014595398
CT,103,area_code_510,0,0,0,160.2,104,27.23,138.9,70,11.81,312.5,97,14.06,9.7,2,2.62,0,0,55.72,621.3000000000001,273,0.08968292290358924,2,9.872421e-05
UT,116,area_code_415,0,1,44,230.6,94,39.2,224.1,103,19.05,244.0,76,10.98,11.1,2,3.0,0,0,72.23,709.8000000000001,275,0.10176105945336714,0,0.00092102593
GA,189,area_code_408,0,0,0,227.4,84,38.66,176.0,81,14.96,206.1,120,9.27,6.3,4,1.7,2,0,64.59,615.8,291,0.10488795063332253,1,9.899647e-05
NV,161,area_code_415,0,0,0,72.8,120,12.38,267.1,120,22.7,222.5,91,10.01,11.8,2,3.19,2,0,48.279999999999994,574.2,335,0.08408220132358062,2,0.00063413876
TN,1,area_code_415,0,0,0,196.1,107,33.34,296.5,82,25.2,211.5,91,9.52,7.0,2,1.89,1,0,69.95,711.1,283,0.09836872451132049,1,0.0017889037
DE,89,area_code_408,0,0,0,197.1,110,33.51,165.9,115,14.1,227.3,106,10.23,12.8,3,3.46,1,0,61.300000000000004,603.0999999999999,335,0.10164151881943295,1,4.861306e-06
NY,64,area_code_408,0,0,0,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,9.7,5,2.62,1,0,72.68,687.1,297,0.10577790714597585,1,0.00034173508
MT,126,area_code_415,0,1,30,153.4,90,26.08,151.4,97,12.87,153.8,97,6.92,12.8,4,3.46,4,1,49.33,471.40000000000003,292,0.10464573610521849,3,0.9978684
IA,129,area_code_415,0,0,0,216.0,85,36.72,186.9,114,15.89,210.7,109,9.48,4.9,10,1.32,2,0,63.410000000000004,618.4999999999999,320,0.10252223120452711,1,0.00015854428
VT,128,area_code_510,0,1,32,222.9,136,37.89,262.0,80,22.27,191.4,101,8.61,10.8,4,2.92,0,0,71.69,687.0999999999999,321,0.10433706884005241,0,0.00080044963
LA,81,area_code_415,0,1,36,115.9,120,19.7,236.6,95,20.11,255.0,90,11.48,11.7,6,3.16,3,0,54.45,619.2,314,0.08793604651162791,0,9.273311e-06
MT,114,area_code_510,0,0,0,189.8,101,32.27,147.7,80,12.55,172.7,121,7.77,10.6,5,2.86,1,0,55.45,520.8,308,0.10647081413210446,1,0.00026406886
NH,50,area_code_408,0,0,0,154.7,102,26.3,298.0,108,25.33,210.2,95,9.46,11.1,3,3.0,0,0,64.09,674.0,308,0.09508902077151336,1,0.00036651775
WV,86,area_code_415,0,0,0,136.4,104,23.19,202.5,110,17.21,230.7,86,10.38,11.5,1,3.11,3,0,53.89000000000001,581.0999999999999,304,0.09273791085871626,2,0.00015553339
ID,96,area_code_408,0,0,0,170.5,86,28.99,277.5,88,23.59,162.5,117,7.31,12.2,6,3.29,1,0,63.18,622.7,298,0.10146137787056367,1,0.0004010014
AZ,72,area_code_510,0,0,0,272.4,88,46.31,107.9,125,9.17,185.5,81,8.35,12.7,2,3.43,0,0,67.26,578.5,296,0.11626620570440796,1,0.00025492086
SC,64,area_code_510,0,1,40,210.0,116,35.7,232.7,89,19.78,168.8,94,7.6,5.9,4,1.59,8,0,64.67,617.4,311,0.1047457078069323,0,0.0010075427
WV,57,area_code_415,1,1,17,236.5,94,40.21,163.1,94,13.86,236.7,117,10.65,12.2,3,3.29,2,0,68.01,648.5,310,0.10487278334618351,0,8.683345e-05
OH,65,area_code_510,0,0,0,153.9,117,26.16,220.1,122,18.71,280.5,147,12.62,8.5,3,2.3,2,0,59.79,663.0,391,0.09018099547511312,1,0.0004926846
MD,163,area_code_408,0,0,0,223.0,120,37.91,227.0,98,19.3,188.3,125,8.47,8.8,5,2.38,1,0,68.05999999999999,647.0999999999999,349,0.10517694328542729,1,0.00021192295
MD,136,area_code_415,0,0,0,252.4,74,42.91,167.9,81,14.27,248.3,110,11.17,10.7,3,2.89,2,0,71.24,679.3000000000001,270,0.10487266303547768,1,0.0021446275
MN,116,area_code_408,0,0,0,197.9,84,33.64,168.1,113,14.29,239.8,145,10.79,12.0,6,3.24,1,0,61.96,617.8,349,0.10029135642602785,1,3.273378e-05
NE,93,area_code_408,0,0,0,152.4,74,25.91,274.6,88,23.34,252.2,120,11.35,6.6,5,1.78,3,0,62.38,685.8000000000001,290,0.09095946340040828,1,0.0010684442
MN,142,area_code_510,0,1,40,237.4,105,40.36,175.9,93,14.95,210.3,110,9.46,9.2,3,2.48,3,0,67.25000000000001,632.8000000000001,314,0.10627370417193427,0,0.0023316327
NY,92,area_code_408,0,0,0,265.6,82,45.15,180.7,75,15.36,211.1,113,9.5,8.6,2,2.32,1,0,72.32999999999998,666.0,273,0.10860360360360358,1,0.013616147
HI,70,area_code_415,0,0,0,197.3,91,33.54,305.8,81,25.99,171.0,105,7.69,6.7,6,1.81,1,0,69.03,680.8000000000001,284,0.10139541715628671,1,1.3234329e-05
MO,22,area_code_408,0,1,14,199.1,100,33.85,221.8,103,18.85,65.7,91,2.96,4.2,1,1.13,1,0,56.790000000000006,490.79999999999995,296,0.11570904645476775,1,0.00018399743
NV,37,area_code_415,0,0,0,233.7,114,39.73,207.9,109,17.67,212.7,101,9.57,12.0,2,3.24,2,0,70.21,666.3,328,0.10537295512531893,1,0.0023341775
MA,51,area_code_415,0,0,0,183.1,99,31.13,160.1,107,13.61,311.8,121,14.03,7.0,3,1.89,1,0,60.66,662.0,331,0.09163141993957703,1,0.0013031636
NH,174,area_code_408,0,0,0,139.4,96,23.7,143.4,108,12.19,225.2,107,10.13,10.0,5,2.7,2,0,48.720000000000006,518.0,318,0.09405405405405406,2,0.00034492387
UT,68,area_code_415,0,0,0,213.9,112,36.36,260.5,100,22.14,233.8,97,10.52,8.4,3,2.27,1,1,71.28999999999999,716.6,313,0.09948367289980461,3,0.97829586
FL,130,area_code_415,0,0,0,207.1,70,35.21,200.1,115,17.01,194.2,100,8.74,12.4,2,3.35,1,0,64.31,613.8,288,0.10477354187031608,1,0.00014271762
WA,104,area_code_415,0,0,0,139.7,78,23.75,202.6,119,17.22,203.6,102,9.16,11.3,5,3.05,2,0,53.17999999999999,557.1999999999999,306,0.09544149318018665,2,0.00013904893
CT,134,area_code_408,0,0,0,177.2,91,30.12,228.7,105,19.44,194.3,113,8.74,8.9,3,2.4,2,0,60.7,609.1,314,0.09965522902643244,1,0.00032356047
KY,108,area_code_415,0,1,35,169.8,136,28.87,173.7,101,14.76,214.6,105,9.66,9.5,7,2.57,2,0,55.86000000000001,567.6,351,0.09841437632135307,0,0.0012859
NM,103,area_code_415,0,0,0,173.5,83,29.5,244.3,65,20.77,221.6,66,9.97,9.7,2,2.62,3,0,62.85999999999999,649.1,219,0.09684178092743798,1,0.00026931168
ND,62,area_code_510,0,0,0,159.9,100,27.18,172.2,99,14.64,263.2,109,11.84,5.6,4,1.51,1,0,55.169999999999995,600.9,313,0.09181228157763355,2,8.413521e-05
NV,162,area_code_415,0,0,0,115.1,89,19.57,196.8,111,16.73,212.4,98,9.56,11.4,3,3.08,2,0,48.94,535.6999999999999,303,0.09135710285607616,2,0.000618906
CA,93,area_code_510,0,1,19,136.8,113,23.26,179.5,105,15.26,71.1,95,3.2,12.5,3,3.38,2,0,45.10000000000001,399.9,318,0.11277819454863719,2,8.020103e-05
ID,42,area_code_415,0,0,0,92.2,108,15.67,211.2,120,17.95,129.1,73,5.81,13.1,6,3.54,1,0,42.97,445.6,308,0.09643177737881507,2,0.0002049473
OK,155,area_code_415,0,1,23,243.9,112,41.46,133.0,106,11.31,213.7,123,9.62,13.4,11,3.62,2,0,66.01,603.9999999999999,354,0.10928807947019871,0,6.881339e-05
IA,36,area_code_510,0,0,0,117.1,94,19.91,235.4,117,20.01,221.3,108,9.96,9.0,2,2.43,0,0,52.31,582.8,321,0.0897563486616335,2,0.00039220307
OH,143,area_code_415,0,0,0,223.3,99,37.96,167.1,128,14.2,203.0,84,9.14,4.5,4,1.22,0,1,62.519999999999996,597.9,315,0.10456598093326643,3,0.98207915
NJ,197,area_code_510,0,0,0,154.8,111,26.32,171.5,102,14.58,227.3,86,10.23,10.6,2,2.86,3,0,53.989999999999995,564.2,304,0.09569301666075858,2,0.00014632814
IA,81,area_code_510,0,0,0,261.4,141,44.44,215.7,102,18.33,271.8,96,12.23,8.0,6,2.16,1,1,77.16,756.9,346,0.10194213238208481,3,0.9996958
DE,138,area_code_510,1,0,0,46.5,104,7.91,186.0,114,15.81,167.5,95,7.54,9.6,4,2.59,4,1,33.849999999999994,409.6,321,0.08264160156249999,3,0.99822587
CA,103,area_code_415,0,1,18,149.9,84,25.48,170.9,84,14.53,171.5,112,7.72,11.5,7,3.11,0,1,50.839999999999996,503.8,287,0.10091306073838824,3,0.97587603
WY,127,area_code_510,1,0,0,242.2,102,41.17,226.1,80,19.22,252.0,96,11.34,13.9,5,3.75,2,1,75.48,734.1999999999999,285,0.10280577499318988,3,0.999979
OR,136,area_code_510,0,0,0,259.4,99,44.1,172.7,125,14.68,293.7,78,13.22,10.7,6,2.89,1,1,74.89,736.5,309,0.101683638832315,3,0.99875593
ME,99,area_code_415,0,0,0,222.4,102,37.81,185.8,89,15.79,237.7,81,10.7,12.0,8,3.24,2,0,67.53999999999999,657.9000000000001,282,0.10265997872017021,1,0.00017825821
AR,95,area_code_415,0,0,0,69.4,79,11.8,190.8,109,16.22,219.9,102,9.9,8.9,5,2.4,0,0,40.32,489.0,295,0.08245398773006135,2,0.0024381333
ME,118,area_code_408,1,1,21,156.5,122,26.61,209.2,125,17.78,158.7,81,7.14,11.1,3,3.0,4,1,54.53,535.5,335,0.10183006535947713,3,0.9999651
WV,113,area_code_415,0,0,0,61.2,111,10.4,92.3,88,7.85,197.4,114,8.88,13.7,3,3.7,5,1,30.830000000000002,364.59999999999997,321,0.08455842018650578,3,0.9973694
PA,128,area_code_408,1,0,0,245.2,112,41.68,101.5,101,8.63,152.3,116,6.85,10.7,5,2.89,0,0,60.050000000000004,509.7,334,0.1178144006278203,1,0.001591423
HI,117,area_code_408,0,0,0,102.3,100,17.39,135.2,104,11.49,199.7,93,8.99,15.7,10,4.24,3,0,42.11000000000001,452.9,310,0.09297858246853612,2,0.0018892644
MT,48,area_code_415,0,1,36,230.9,92,39.25,167.6,121,14.25,270.0,87,12.15,7.6,4,2.05,3,0,67.7,676.1,307,0.10013311640289899,0,9.833186e-05
DC,81,area_code_510,1,0,0,227.4,105,38.66,211.5,120,17.98,258.2,113,11.62,11.9,3,3.21,0,0,71.47,708.9999999999999,341,0.10080394922425953,1,0.00044328012
AR,57,area_code_510,0,0,0,192.8,68,32.78,158.0,86,13.43,235.5,105,10.6,12.7,6,3.43,1,0,60.24,599.0,266,0.10056761268781303,1,1.8835895e-05
MS,140,area_code_408,0,0,0,162.6,98,27.64,206.2,109,17.53,141.6,66,6.37,8.2,2,2.21,1,0,53.75,518.6,276,0.10364442730428075,2,0.00014067529
OH,107,area_code_510,0,1,38,219.4,92,37.3,180.5,73,15.34,104.1,91,4.68,11.0,1,2.97,2,0,60.29,515.0,259,0.11706796116504854,0,0.00032819167
MO,56,area_code_415,0,0,0,137.2,111,23.32,165.9,119,14.1,182.3,72,8.2,14.3,4,3.86,1,0,49.480000000000004,499.70000000000005,307,0.09901941164698819,2,3.538455e-05
TX,159,area_code_415,0,0,0,87.7,103,14.91,278.2,97,23.65,170.6,93,7.68,10.5,10,2.84,1,0,49.08,547.0,304,0.08972577696526508,2,5.9202277e-05
MD,102,area_code_415,0,0,0,271.1,80,46.09,172.0,133,14.62,169.2,105,7.61,10.3,5,2.78,1,0,71.10000000000001,622.5999999999999,324,0.11419852232573084,1,0.010645839
CT,107,area_code_408,0,0,0,103.4,94,17.58,189.3,125,16.09,227.2,125,10.22,14.4,3,3.89,1,0,47.78,534.3000000000001,348,0.08942541643271569,2,0.0013950127
SC,106,area_code_408,0,0,0,52.2,106,8.87,220.1,113,18.71,112.3,95,5.05,11.4,2,3.08,2,0,35.709999999999994,396.0,318,0.09017676767676766,2,0.0013943386
MI,225,area_code_415,0,0,0,165.4,106,28.12,273.7,109,23.26,210.0,93,9.45,8.7,3,2.35,0,1,63.18,657.8000000000001,311,0.09604743083003951,3,0.9829837
SD,75,area_code_408,0,0,0,147.5,110,25.08,191.7,97,16.29,135.0,68,6.08,16.4,3,4.43,2,0,51.879999999999995,490.59999999999997,280,0.10574806359559723,2,0.00039715823
CO,86,area_code_415,0,0,0,217.8,93,37.03,214.7,95,18.25,228.7,70,10.29,11.3,7,3.05,0,0,68.61999999999999,672.5,265,0.10203717472118957,1,3.2907144e-05
ID,169,area_code_415,0,0,0,235.7,79,40.07,136.9,85,11.64,220.9,97,9.94,13.3,10,3.59,1,0,65.24,606.8,272,0.10751483190507581,1,0.0004043221
AZ,122,area_code_510,0,1,22,204.5,92,34.77,139.6,121,11.87,205.0,103,9.23,8.6,5,2.32,2,0,58.190000000000005,557.7,323,0.10433925049309664,0,1.0841271e-05
FL,106,area_code_408,0,0,0,178.4,143,30.33,247.0,123,21.0,259.9,105,11.7,9.6,2,2.59,0,0,65.62,694.9,373,0.09443085336019572,1,0.0015102618
MN,52,area_code_415,0,1,32,130.1,68,22.12,247.2,77,21.01,289.4,87,13.02,13.5,5,3.65,2,0,59.800000000000004,680.1999999999999,239,0.08791531902381654,0,0.0025216243
DE,79,area_code_415,0,1,34,103.7,100,17.63,236.3,78,20.09,256.6,102,11.55,14.8,4,4.0,2,0,53.269999999999996,611.4,286,0.08712790317304546,0,0.0011700618
MI,135,area_code_415,0,0,0,239.9,91,40.78,177.1,104,15.05,217.2,118,9.77,5.9,3,1.59,2,0,67.19,640.1,318,0.10496797375410091,1,0.00044003857
MS,70,area_code_408,0,0,0,148.4,110,25.23,267.1,90,22.7,151.5,101,6.82,8.9,4,2.4,0,0,57.15,575.9,305,0.09923597846848412,2,6.055677e-06
MA,80,area_code_408,0,0,0,148.6,106,25.26,210.8,65,17.92,203.7,86,9.17,10.0,2,2.7,2,0,55.05000000000001,573.0999999999999,261,0.09605653463618918,2,0.0006281168
CA,37,area_code_415,0,0,0,191.1,69,32.49,129.2,113,10.98,207.5,117,9.34,12.9,1,3.48,0,0,56.29,540.6999999999999,300,0.10410578879230628,1,1.0239219e-05
MN,161,area_code_415,0,1,39,218.5,76,37.15,112.7,94,9.58,205.1,121,9.23,7.3,4,1.97,1,0,57.92999999999999,543.5999999999999,296,0.1065673289183223,0,0.0006902125
VT,137,area_code_510,0,0,0,97.5,95,16.58,195.8,82,16.64,288.8,78,13.0,0.0,0,0.0,1,0,46.22,582.1,256,0.07940216457653324,2,0.00018195495
CT,123,area_code_415,0,0,0,128.7,126,21.88,117.6,94,10.0,198.4,132,8.93,10.8,5,2.92,0,0,43.730000000000004,455.5,357,0.09600439077936335,2,0.0003224491
WV,80,area_code_415,0,1,38,236.6,69,40.22,197.5,68,16.79,209.5,102,9.43,9.5,10,2.57,2,0,69.00999999999999,653.1,251,0.10566528862348797,0,3.2864682e-05
WV,94,area_code_415,0,0,0,85.9,113,14.6,226.7,91,19.27,279.6,110,12.58,15.6,16,4.21,0,0,50.66,607.8000000000001,330,0.08334978611385323,2,0.0036424669
NE,105,area_code_415,0,1,27,141.2,96,24.0,167.7,94,14.25,274.4,101,12.35,11.4,2,3.08,1,0,53.68,594.6999999999999,294,0.09026399865478393,0,9.6056974e-05
NC,73,area_code_415,0,1,31,194.4,104,33.05,176.0,84,14.96,230.1,110,10.35,11.5,3,3.11,0,0,61.47,612.0,301,0.10044117647058823,0,4.9372054e-05
NE,112,area_code_415,0,0,0,167.6,100,28.49,154.5,90,13.13,281.4,107,12.66,17.3,3,4.67,2,0,58.95,620.8,302,0.09495811855670104,1,3.3668315e-05
IL,179,area_code_408,0,0,0,234.5,134,39.87,164.2,94,13.96,191.4,72,8.61,6.1,4,1.65,1,0,64.09,596.2,305,0.10749748406574974,1,0.000114110524
MA,57,area_code_510,0,0,0,154.2,78,26.21,196.7,85,16.72,253.5,97,11.41,10.1,9,2.73,1,0,57.07,614.5,270,0.09287225386493084,2,1.44053865e-05
AZ,127,area_code_415,0,1,14,143.2,99,24.34,169.9,91,14.44,221.6,77,9.97,11.6,1,3.13,1,0,51.88,546.3000000000001,269,0.09496613582280797,2,0.00014409517
SD,122,area_code_415,1,1,40,216.4,80,36.79,249.7,90,21.22,185.9,99,8.37,12.7,4,3.43,1,0,69.81,664.7,274,0.10502482322852415,0,0.003418624
MT,33,area_code_510,0,1,35,161.9,85,27.52,151.2,82,12.85,191.0,131,8.59,8.5,2,2.3,1,0,51.25999999999999,512.6,301,0.09999999999999998,0,0.0016198063
VT,94,area_code_408,0,0,0,118.7,90,20.18,205.1,57,17.43,172.2,100,7.75,10.4,6,2.81,3,0,48.17,506.4,256,0.0951224328593997,2,0.00015695737
UT,100,area_code_408,0,0,0,179.1,123,30.45,196.6,132,16.71,186.7,116,8.4,10.2,10,2.75,1,0,58.309999999999995,572.6,382,0.10183374083129583,1,0.0020915729
