state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,recharge_total,minutes_total,calls_total,rechargesPerMinute
CA,96,area_code_510,0,1,31,183.4,126,31.18,195.5,106,16.62,180.1,93,8.1,10.5,5,2.84,1,0,58.739999999999995,569.5,331,0.10314310798946444
CA,79,area_code_510,0,0,0,157.6,85,26.79,194.1,92,16.5,231.5,86,10.42,9.4,10,2.54,5,1,56.25,592.6,278,0.09492068849139386
MN,55,area_code_415,0,0,0,175.6,147,29.85,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51,0,0,59.14,636.1999999999999,324,0.09295818924866395
AK,130,area_code_415,0,0,0,242.5,101,41.23,102.8,114,8.74,142.4,89,6.41,9.3,2,2.51,2,0,58.88999999999999,497.00000000000006,308,0.11849094567404424
VA,34,area_code_415,0,0,0,151.0,102,25.67,131.4,101,11.17,186.6,86,8.4,9.9,7,2.67,0,0,47.910000000000004,478.9,296,0.10004176237210274
CO,139,area_code_415,0,0,0,138.1,103,23.48,164.5,100,13.98,134.9,63,6.07,8.3,2,2.24,1,0,45.77,445.8,269,0.10266935845670705
MT,109,area_code_408,0,0,0,264.7,69,45.0,305.0,120,25.93,197.4,86,8.88,9.5,9,2.57,1,1,82.38,776.6,285,0.10607777491630183
SD,65,area_code_408,0,1,31,282.3,70,47.99,152.0,89,12.92,225.5,93,10.15,12.0,4,3.24,1,0,74.3,671.8,257,0.11059839237868413
NE,63,area_code_415,0,0,0,211.2,80,35.9,237.7,93,20.2,259.2,58,11.66,12.3,2,3.32,0,0,71.07999999999998,720.3999999999999,233,0.09866740699611326
VT,152,area_code_415,0,0,0,197.1,126,33.51,130.1,76,11.06,78.1,100,3.51,7.4,4,2.0,3,0,50.08,412.69999999999993,309,0.12134722558759391
ND,147,area_code_408,0,0,0,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1,0,62.01,620.4,312,0.09995164410058027
GA,112,area_code_415,0,1,22,181.8,110,30.91,228.1,123,19.39,262.7,141,11.82,9.2,4,2.48,2,0,64.6,681.8,380,0.09474919331182165
OR,120,area_code_415,0,0,0,252.0,120,42.84,150.2,106,12.77,151.8,96,6.83,9.6,1,2.59,2,0,65.03,563.6,325,0.1153832505322924
MT,27,area_code_510,0,0,0,193.8,102,32.95,118.9,104,10.11,135.9,124,6.12,9.2,3,2.48,0,0,51.66,457.8,333,0.1128440366972477
WY,171,area_code_415,0,0,0,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1,0,67.96999999999998,639.0999999999999,335,0.10635268346111719
GA,101,area_code_415,0,1,33,200.1,108,34.02,188.9,122,16.06,205.1,90,9.23,15.5,4,4.19,0,0,63.5,609.6,324,0.10416666666666666
WV,32,area_code_408,0,1,26,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1,0,79.07000000000001,728.0999999999999,319,0.10859772009339379
CT,3,area_code_415,0,1,36,118.1,117,20.08,221.5,125,18.83,103.9,89,4.68,11.9,6,3.21,2,0,46.8,455.4,339,0.10276679841897234
IL,151,area_code_408,0,0,0,175.3,106,29.8,144.3,87,12.27,160.2,88,7.21,11.8,5,3.19,0,0,52.47,491.6,286,0.10673311635475996
CO,60,area_code_408,0,0,0,125.1,99,21.27,248.8,62,21.15,211.3,79,9.51,11.2,3,3.02,3,0,54.95,596.4000000000001,246,0.09213615023474178
DE,119,area_code_415,0,0,0,176.8,90,30.06,224.7,81,19.1,204.6,77,9.21,7.5,15,2.03,1,0,60.4,613.6,264,0.0984354628422425
LA,43,area_code_415,0,0,0,241.9,101,41.12,129.4,121,11.0,264.8,104,11.92,5.9,3,1.59,1,0,65.63,642.0,330,0.10222741433021806
MA,42,area_code_408,0,0,0,241.2,134,41.0,116.5,114,9.9,152.2,91,6.85,10.6,4,2.86,0,0,60.61,520.5,343,0.11644572526416906
IN,84,area_code_408,0,0,0,217.1,99,36.91,236.0,68,20.06,118.3,120,5.32,9.4,4,2.54,1,0,64.83,580.8,292,0.11162190082644628
NY,65,area_code_510,0,0,0,195.4,110,33.22,181.2,109,15.4,178.5,105,8.03,8.9,4,2.4,0,0,59.05,564.0,328,0.10469858156028368
TX,75,area_code_415,1,0,0,222.4,78,37.81,327.0,111,27.8,208.0,104,9.36,8.7,9,2.35,1,1,77.32,766.1,303,0.10092677196188486
KS,116,area_code_510,0,0,0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,0,61.14999999999999,598.2,294,0.10222333667669674
WV,107,area_code_415,0,0,0,123.1,100,20.93,158.4,82,13.46,256.1,82,11.52,9.3,5,2.51,0,0,48.419999999999995,546.9,269,0.08853538123971474
NE,189,area_code_415,0,1,38,256.7,98,43.64,150.5,120,12.79,123.0,87,5.54,11.4,3,3.08,3,0,65.05,541.6,311,0.12010709010339733
ND,123,area_code_408,0,0,0,159.1,94,27.05,241.6,119,20.54,202.4,120,9.11,6.5,1,1.76,1,0,58.46,609.6,335,0.09589895013123359
AK,110,area_code_408,0,0,0,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,11.1,8,3.0,3,0,49.05,548.9,251,0.08936053926033886
CO,63,area_code_415,0,1,32,30.9,113,5.25,187.0,113,15.9,230.8,101,10.39,8.6,7,2.32,1,0,33.86,457.30000000000007,335,0.07404329761644433
ME,176,area_code_415,0,0,0,223.2,76,37.94,214.4,131,18.22,154.4,80,6.95,10.1,2,2.73,3,0,65.84,602.1,292,0.10935060621159276
SC,108,area_code_510,0,0,0,187.4,101,31.86,199.9,126,16.99,216.1,107,9.72,12.6,8,3.4,1,0,61.96999999999999,616.0,343,0.10060064935064934
MN,13,area_code_510,0,1,21,315.6,105,53.65,208.9,71,17.76,260.1,123,11.7,12.1,3,3.27,3,0,86.38,796.7,305,0.10842224174720722
CO,71,area_code_415,0,0,0,277.5,104,47.18,131.8,121,11.2,126.9,101,5.71,8.2,2,2.21,1,0,66.29999999999998,544.4000000000001,329,0.12178545187362229
KS,88,area_code_415,0,0,0,189.8,111,32.27,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02,2,0,63.61,636.5,328,0.09993715632364493
MS,137,area_code_510,0,0,0,147.2,119,25.02,192.8,91,16.39,172.7,105,7.77,10.2,4,2.75,1,0,51.92999999999999,522.9000000000001,320,0.0993115318416523
NE,82,area_code_408,0,0,0,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,0,65.27000000000001,660.1,285,0.09887895773367673
NJ,92,area_code_510,0,1,29,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,8.0,4,2.16,3,0,56.06999999999999,606.8,339,0.0924027686222808
WI,165,area_code_510,0,0,0,154.2,91,26.21,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94,6,0,60.48,622.5,308,0.0971566265060241
MT,96,area_code_415,0,0,0,97.6,98,16.59,105.5,118,8.97,220.2,105,9.91,11.6,9,3.13,1,0,38.6,434.9,331,0.08875603587031503
AR,156,area_code_415,0,0,0,178.8,94,30.4,178.4,97,15.16,169.2,77,7.61,7.5,3,2.03,1,0,55.2,533.9000000000001,272,0.10339014796778422
WA,63,area_code_408,0,0,0,149.3,104,25.38,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46,0,0,60.4,638.6,255,0.09458189790165987
NH,37,area_code_415,0,0,0,206.0,89,35.02,186.0,88,15.81,307.1,86,13.82,8.4,11,2.27,0,0,66.92,707.5,274,0.09458657243816254
IA,98,area_code_415,0,0,0,216.8,86,36.86,190.8,114,16.22,187.5,79,8.44,11.0,9,2.97,0,0,64.49,606.1,288,0.10640158389704668
WV,121,area_code_415,0,0,0,103.3,110,17.56,129.1,82,10.97,167.1,113,7.52,10.7,3,2.89,0,0,38.94,410.2,308,0.09492930277913213
RI,94,area_code_415,0,0,0,139.4,95,23.7,159.1,92,13.52,128.2,129,5.77,7.7,3,2.08,0,0,45.06999999999999,434.4,319,0.10375230202578267
KS,99,area_code_415,0,0,0,191.2,110,32.5,163.9,102,13.93,243.6,114,10.96,14.1,3,3.81,1,0,61.2,612.8000000000001,330,0.09986945169712794
MT,163,area_code_510,0,1,23,160.0,104,27.2,189.4,64,16.1,229.9,118,10.35,10.4,7,2.81,1,0,56.46,589.6999999999999,294,0.0957435984398847
MO,161,area_code_510,0,0,0,221.7,95,37.69,193.0,82,16.41,194.1,113,8.73,6.5,4,1.76,3,0,64.59,615.3,297,0.10497318381277428
HI,99,area_code_415,0,0,0,62.9,81,10.69,231.0,64,19.64,168.9,121,7.6,8.5,5,2.3,1,0,40.23,471.29999999999995,272,0.08535964353914705
CO,108,area_code_415,0,0,0,215.6,78,36.65,195.3,119,16.6,194.4,65,8.75,3.6,5,0.97,1,0,62.97,608.9,268,0.10341599605846609
CT,84,area_code_510,0,1,42,165.3,97,28.1,223.5,118,19.0,260.8,72,11.74,7.6,7,2.05,3,0,60.89,657.2,297,0.09265063907486305
ID,83,area_code_415,1,1,32,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86,2,0,41.099999999999994,460.1,326,0.08932840686807214
DC,139,area_code_510,0,0,0,203.2,81,34.54,152.5,99,12.96,197.8,76,8.9,9.7,3,2.62,2,0,59.019999999999996,563.2,261,0.10479403409090908
TN,69,area_code_510,0,0,0,195.3,70,33.2,216.7,108,18.42,259.9,119,11.7,12.5,4,3.38,3,0,66.7,684.4,304,0.09745762711864407
WY,129,area_code_510,0,0,0,143.7,114,24.43,297.8,98,25.31,212.6,86,9.57,11.4,8,3.08,4,0,62.38999999999999,665.5,310,0.09374906085649887
MO,106,area_code_415,0,0,0,114.4,104,19.45,78.3,101,6.66,232.7,78,10.47,0.0,0,0.0,2,0,36.58,425.4,285,0.08598965679360601
VA,158,area_code_415,0,0,0,222.8,101,37.88,203.0,128,17.26,210.6,106,9.48,6.9,2,1.86,2,0,66.48,643.3,339,0.10334214207990053
SD,168,area_code_415,0,1,22,175.9,70,29.9,211.7,105,17.99,174.5,81,7.85,7.3,5,1.97,2,0,57.71,569.4,263,0.10135230066736917
WV,115,area_code_510,1,0,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,1,74.05,659.3999999999999,327,0.11229905975128907
GA,57,area_code_408,1,1,30,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,11.4,4,3.08,2,0,71.63999999999999,709.9,346,0.10091562191858007
AZ,67,area_code_415,0,0,0,210.7,116,35.82,219.2,86,18.63,179.7,83,8.09,7.2,6,1.94,1,0,64.48,616.8,292,0.1045395590142672
AK,127,area_code_408,0,0,0,182.3,124,30.99,169.9,110,14.44,184.0,116,8.28,9.3,3,2.51,1,0,56.22,545.5,354,0.10306141154903758
AK,78,area_code_510,0,0,0,190.3,88,32.35,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16,2,0,63.58,653.0,293,0.09736600306278713
CT,100,area_code_415,0,1,38,177.1,88,30.11,163.7,108,13.91,242.7,72,10.92,7.4,2,2.0,0,0,56.94,590.9,270,0.09636148248434591
UT,103,area_code_510,0,1,36,87.2,92,14.82,169.3,110,14.39,166.7,80,7.5,10.9,5,2.94,6,1,39.65,434.09999999999997,293,0.09133840129002535
KY,113,area_code_415,0,0,0,215.6,96,36.65,193.4,127,16.44,105.4,115,4.74,13.5,3,3.65,1,0,61.480000000000004,527.9,342,0.11646145103239251
MI,78,area_code_510,0,0,0,137.4,109,23.36,237.6,49,20.2,206.7,136,9.3,14.0,11,3.78,3,0,56.64,595.7,308,0.09508141682054724
OR,129,area_code_510,0,1,36,192.8,103,32.78,177.0,83,15.05,216.5,118,9.74,16.4,5,4.43,1,0,62.0,602.6999999999999,310,0.10287041645926664
TN,57,area_code_510,0,0,0,149.3,100,25.38,200.2,110,17.02,231.7,101,10.43,11.9,3,3.21,2,0,56.04,593.1,316,0.09448659585230146
WV,82,area_code_408,0,0,0,143.7,116,24.43,170.7,99,14.51,287.7,95,12.95,7.8,5,2.11,1,0,54.0,609.8999999999999,316,0.088539104771274
NJ,64,area_code_415,0,0,0,224.8,111,38.22,190.0,101,16.15,221.4,110,9.96,9.2,2,2.48,1,0,66.81,645.4000000000001,325,0.10351719863650448
MS,86,area_code_510,0,1,39,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2,0,73.01,643.0,331,0.11354587869362365
ME,151,area_code_415,0,1,26,196.5,98,33.41,175.8,111,14.94,221.8,124,9.98,13.4,5,3.62,0,0,61.949999999999996,607.5,338,0.1019753086419753
WY,94,area_code_510,0,0,0,271.2,105,46.1,202.6,105,17.22,221.6,51,9.97,11.5,3,3.11,3,1,76.4,706.9,267,0.10807752157306551
WY,90,area_code_415,0,0,0,207.2,121,35.22,292.5,104,24.86,226.3,103,10.18,8.0,1,2.16,2,0,72.41999999999999,734.0,331,0.09866485013623977
IN,48,area_code_510,0,0,0,300.4,94,51.07,133.2,103,11.32,197.4,94,8.88,7.2,5,1.94,2,0,73.21,638.2,298,0.11471325603259165
NM,85,area_code_408,0,1,37,229.6,123,39.03,132.3,90,11.25,211.9,76,9.54,9.5,8,2.57,2,0,62.39,583.3,299,0.10696039773701355
NJ,93,area_code_415,1,1,20,187.5,110,31.88,169.8,94,14.43,175.3,127,7.89,12.1,4,3.27,1,0,57.470000000000006,544.7,336,0.105507618872774
DC,169,area_code_415,1,0,0,57.1,98,9.71,199.7,78,16.97,274.7,103,12.36,6.5,6,1.76,3,0,40.8,538.0,288,0.0758364312267658
UT,68,area_code_415,0,0,0,162.1,86,27.56,155.0,86,13.18,189.7,87,8.54,11.0,9,2.97,5,1,52.24999999999999,517.8,273,0.10090768636539203
KY,91,area_code_415,1,0,0,145.0,89,24.65,175.8,102,14.94,223.7,151,10.07,16.7,3,4.51,2,1,54.169999999999995,561.2,347,0.09652530292230932
KS,68,area_code_510,0,0,0,159.5,123,27.12,240.8,93,20.47,210.3,76,9.46,11.4,3,3.08,1,0,60.13,622.0,296,0.09667202572347268
MI,101,area_code_510,0,0,0,190.7,72,32.42,208.6,103,17.73,203.8,111,9.17,8.8,8,2.38,1,0,61.70000000000001,611.8999999999999,295,0.10083346952116362
UT,67,area_code_510,0,1,20,230.6,40,39.2,189.1,58,16.07,162.2,115,7.3,9.4,2,2.54,1,0,65.11,591.3,216,0.11011330965668865
NE,66,area_code_415,0,0,0,34.0,133,5.78,278.6,61,23.68,129.6,120,5.83,11.5,3,3.11,0,0,38.4,453.70000000000005,317,0.08463742561163763
FL,116,area_code_415,0,1,17,193.4,112,32.88,240.6,131,20.45,248.1,98,11.16,11.4,3,3.08,5,0,67.57,693.5,349,0.09743330930064888
LA,158,area_code_408,0,0,0,202.0,126,34.34,163.5,86,13.9,195.4,84,8.79,10.4,6,2.81,1,0,59.84,571.3,303,0.10474356730264311
MT,78,area_code_415,0,0,0,191.7,122,32.59,241.4,88,20.52,203.5,86,9.16,9.1,5,2.46,1,0,64.72999999999999,645.7,302,0.10024779309276752
WA,119,area_code_415,0,1,26,161.3,97,27.42,250.3,110,21.28,142.4,92,6.41,6.6,8,1.78,1,0,56.89,560.6,308,0.10148055654655726
MI,120,area_code_415,0,0,0,150.6,85,25.6,119.0,128,10.12,232.9,123,10.48,6.4,2,1.73,1,0,47.93,508.9,339,0.09418353311063078
KY,155,area_code_510,0,0,0,184.6,102,31.38,196.0,117,16.66,226.5,122,10.19,7.8,1,2.11,1,0,60.339999999999996,614.9,343,0.09812977719954463
LA,106,area_code_408,0,0,0,220.7,120,37.52,270.2,95,22.97,121.6,113,5.47,8.7,5,2.35,1,0,68.31,621.2,334,0.10996458467482292
NM,87,area_code_510,1,0,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11.0,6,2.97,1,0,54.27,509.9,333,0.10643263384977447
AL,146,area_code_415,0,1,32,154.0,80,26.18,185.5,91,15.77,148.2,107,6.67,8.2,4,2.21,3,0,50.830000000000005,495.9,285,0.10250050413389798
MO,101,area_code_415,0,1,29,121.1,116,20.59,186.4,100,15.84,241.7,75,10.88,10.1,6,2.73,0,0,50.04,559.3000000000001,297,0.08946897908099409
CO,22,area_code_510,0,1,23,182.1,94,30.96,164.6,59,13.99,128.8,102,5.8,12.7,4,3.43,3,0,54.18,488.2,262,0.11097910692339205
TX,90,area_code_415,0,0,0,109.6,88,18.63,137.6,108,11.7,159.7,121,7.19,11.0,5,2.97,2,0,40.489999999999995,417.9,324,0.09688920794448432
NY,41,area_code_415,0,0,0,209.9,105,35.68,121.9,105,10.36,253.7,104,11.42,9.6,4,2.59,1,0,60.05,595.1,319,0.10090741051924046
OR,69,area_code_415,0,0,0,167.5,76,28.48,242.1,92,20.58,101.2,103,4.55,11.4,4,3.08,2,0,56.69,522.2,277,0.10855993872079661
WY,33,area_code_415,0,0,0,213.9,88,36.36,239.8,119,20.38,148.7,71,6.69,9.8,14,2.65,2,0,66.08,612.2,294,0.10793858216269192
UT,112,area_code_415,0,0,0,115.8,108,19.69,243.3,111,20.68,184.6,78,8.31,13.1,5,3.54,1,0,52.220000000000006,556.8000000000001,303,0.09378591954022988
LA,108,area_code_510,0,1,30,276.6,99,47.02,220.1,113,18.71,177.9,95,8.01,9.8,6,2.65,2,0,76.39000000000001,684.4,315,0.11161601402688488
NV,136,area_code_415,0,1,21,179.4,88,30.5,181.1,97,15.39,320.7,120,14.43,9.5,4,2.57,2,0,62.89,690.7,311,0.09105255537860141
NC,128,area_code_510,0,0,0,187.3,84,31.84,270.8,95,23.02,206.4,68,9.29,10.1,5,2.73,1,0,66.88000000000001,674.6,253,0.09914023124814707
NC,27,area_code_408,0,0,0,201.2,128,34.2,227.2,100,19.31,145.8,91,6.56,8.4,3,2.27,2,0,62.34000000000001,582.6,324,0.10700308959835222
WY,161,area_code_415,1,0,0,189.6,78,32.23,267.4,117,22.73,184.5,137,8.3,1.3,6,0.35,1,0,63.60999999999999,642.8,339,0.09895768512756689
TN,33,area_code_415,0,1,35,186.8,124,31.76,261.0,69,22.19,317.8,103,14.3,15.0,5,4.05,0,0,72.3,780.6,301,0.09262106072252113
FL,120,area_code_415,0,1,31,153.5,83,26.1,219.1,96,18.62,237.4,76,10.68,11.4,4,3.08,0,0,58.48,621.4,259,0.09411007402639202
CA,113,area_code_415,0,0,0,187.6,97,31.89,208.2,118,17.7,158.9,101,7.15,8.7,6,2.35,2,0,59.09,563.4,324,0.10488107916222933
PA,122,area_code_415,1,0,0,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11.0,2,2.97,0,1,71.1,667.5,290,0.10651685393258425
WV,148,area_code_415,0,1,26,244.9,150,41.63,118.0,138,10.03,236.0,91,10.62,15.2,4,4.1,2,0,66.38,614.1,385,0.10809314443901644
NJ,74,area_code_415,0,0,0,230.9,93,39.25,223.0,78,18.96,157.8,101,7.1,9.7,2,2.62,3,0,67.93,621.4000000000001,277,0.10931766977792082
MT,106,area_code_415,0,0,0,187.1,104,31.81,250.2,117,21.27,144.9,81,6.52,11.0,3,2.97,1,0,62.56999999999999,593.1999999999999,306,0.10547875927174646
MN,179,area_code_415,0,0,0,170.7,54,29.02,191.1,108,16.24,214.6,107,9.66,13.3,4,3.59,1,0,58.510000000000005,589.6999999999999,274,0.09921994234356454
WI,149,area_code_415,1,1,28,126.9,97,21.57,166.9,102,14.19,145.2,77,6.53,8.8,3,2.38,5,1,44.67,447.8,284,0.09975435462259938
ID,77,area_code_510,0,0,0,189.5,112,32.22,207.0,95,17.6,214.1,91,9.63,9.2,7,2.48,0,0,61.93,619.8000000000001,305,0.099919328815747
MA,127,area_code_408,1,0,0,176.9,110,30.07,167.9,100,14.27,182.2,138,8.2,7.7,2,2.08,1,1,54.620000000000005,534.7,351,0.10215073873199926
OR,80,area_code_415,0,0,0,161.1,99,27.39,198.8,81,16.9,228.4,116,10.28,10.6,4,2.86,1,0,57.43,598.9,301,0.09589246952746702
MT,106,area_code_510,0,0,0,169.4,107,28.8,197.2,71,16.76,202.2,79,9.1,10.7,4,2.89,1,0,57.550000000000004,579.5,262,0.09930974978429681
AL,61,area_code_415,0,1,20,254.4,133,43.25,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84,0,0,71.14,678.0,324,0.10492625368731563
ND,135,area_code_510,1,1,24,127.7,54,21.71,215.0,105,18.28,234.3,84,10.54,5.8,4,1.57,2,0,52.1,582.8,249,0.08939601921757036
LA,115,area_code_415,0,1,26,170.5,107,28.99,217.2,77,18.46,225.7,71,10.16,13.6,5,3.67,6,0,61.28,627.0,266,0.09773524720893143
ND,167,area_code_408,1,0,0,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73,2,0,68.23,641.0,297,0.1064430577223089
MS,107,area_code_510,1,0,0,273.5,104,46.5,183.8,68,15.62,153.8,67,6.92,11.0,9,2.97,2,0,72.00999999999999,622.1,250,0.11575309435782026
WV,112,area_code_415,1,0,0,161.9,138,27.52,200.9,114,17.08,134.0,134,6.03,10.7,4,2.89,1,0,53.519999999999996,507.5,391,0.10545812807881773
WI,35,area_code_510,0,1,27,241.7,87,41.09,142.0,101,12.07,288.9,68,13.0,9.4,4,2.54,1,0,68.7,681.9999999999999,261,0.10073313782991204
KS,103,area_code_408,1,0,0,62.8,124,10.68,170.4,66,14.48,280.2,78,12.61,9.4,4,2.54,3,0,40.309999999999995,522.8,275,0.07710405508798776
MO,107,area_code_415,0,1,22,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02,1,0,73.78999999999999,675.4000000000001,351,0.10925377554042047
PA,69,area_code_415,0,0,0,228.2,70,38.79,263.7,80,22.41,142.6,60,6.42,10.7,5,2.89,3,0,70.51,645.2,218,0.1092839429634222
SD,85,area_code_408,0,0,0,209.8,82,35.67,194.5,94,16.53,200.4,85,9.02,11.3,3,3.05,0,0,64.27,616.0,264,0.10433441558441557
NJ,24,area_code_408,0,0,0,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3.0,2,1,74.11,668.0000000000001,301,0.11094311377245507
AL,90,area_code_415,0,0,0,214.9,97,36.53,117.8,117,10.01,133.7,78,6.02,11.8,2,3.19,2,0,55.75,478.2,296,0.11658301965704726
ME,137,area_code_510,0,0,0,110.5,79,18.79,223.2,111,18.97,169.5,64,7.63,10.5,3,2.84,3,0,48.230000000000004,513.7,260,0.0938874829667121
AZ,92,area_code_415,1,1,45,281.1,88,47.79,198.0,103,16.83,94.3,76,4.24,7.5,3,2.03,0,0,70.89,580.9,270,0.12203477362713032
VT,38,area_code_415,0,0,0,137.8,86,23.43,286.3,76,24.34,167.0,77,7.52,14.1,3,3.81,2,0,59.099999999999994,605.2,244,0.09765366820885656
NV,69,area_code_510,1,1,33,271.5,98,46.16,253.4,102,21.54,165.4,85,7.44,8.2,2,2.21,1,1,77.34999999999998,698.5,288,0.1107372942018611
WI,45,area_code_408,0,0,0,112.8,108,19.18,218.8,120,18.6,240.2,106,10.81,9.0,3,2.43,2,0,51.02,580.8,339,0.0878443526170799
HI,73,area_code_408,0,0,0,187.3,118,31.84,239.7,90,20.37,167.5,108,7.54,15.1,2,4.08,1,0,63.83,609.6,319,0.10470800524934383
DE,92,area_code_415,0,0,0,197.0,84,33.49,269.3,105,22.89,158.9,105,7.15,10.8,4,2.92,1,0,66.45,636.0,299,0.1044811320754717
AZ,113,area_code_415,0,1,32,180.4,89,30.67,129.4,124,11.0,166.9,124,7.51,8.4,2,2.27,1,0,51.45,485.1,340,0.10606060606060606
VA,68,area_code_408,1,0,0,148.5,126,25.25,219.4,125,18.65,198.5,121,8.93,14.5,7,3.92,1,1,56.75,580.9,380,0.0976932346359098
GA,135,area_code_415,0,1,22,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,0,65.56,605.8000000000001,350,0.10822053482997689
AZ,100,area_code_415,0,1,26,153.7,115,26.13,137.8,146,11.71,213.5,104,9.61,15.9,5,4.29,1,0,51.74,520.9,371,0.09932808600499136
MN,96,area_code_415,0,1,27,261.3,96,44.42,220.9,101,18.78,179.4,97,8.07,11.3,2,3.05,1,0,74.32000000000001,672.9,297,0.11044731758062121
ME,108,area_code_510,0,0,0,246.2,102,41.85,202.4,134,17.2,180.1,95,8.1,9.4,5,2.54,1,0,69.69,638.1,337,0.10921485660554771
FL,84,area_code_510,0,0,0,191.0,88,32.47,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76,0,0,72.46000000000001,763.6,290,0.09489261393399687
WA,134,area_code_408,0,0,0,208.3,86,35.41,253.6,89,21.56,291.0,86,13.1,12.6,3,3.4,1,0,73.47,765.5,265,0.09597648595689091
MT,72,area_code_415,0,0,0,253.0,73,43.01,219.3,78,18.64,210.8,89,9.49,9.8,4,2.65,0,0,73.79,692.9,244,0.1064944436426613
AL,83,area_code_408,0,0,0,202.3,87,34.39,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0,0,57.94,512.3,284,0.1130977942611751
WV,137,area_code_408,0,0,0,174.4,120,29.65,156.3,98,13.29,136.5,121,6.14,10.2,5,2.75,0,0,51.83,477.40000000000003,344,0.1085672392124005
GA,56,area_code_415,0,1,30,127.1,89,21.61,172.1,116,14.63,194.6,111,8.76,12.1,3,3.27,1,0,48.27,505.9,320,0.09541411346115834
OH,61,area_code_510,1,1,16,143.5,76,24.4,242.6,58,20.62,147.7,95,6.65,11.3,3,3.05,0,0,54.71999999999999,545.0999999999999,232,0.1003852504127683
DE,171,area_code_510,0,1,17,186.9,94,31.77,240.0,138,20.4,200.9,64,9.04,5.8,3,1.57,1,0,62.78,633.5999999999999,300,0.09908459595959597
NE,123,area_code_510,0,0,0,194.0,118,32.98,242.0,114,20.57,146.3,108,6.58,12.1,4,3.27,1,0,63.4,594.4,345,0.1066621803499327
FL,58,area_code_510,0,0,0,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,0,59.7,530.0,348,0.11264150943396227
AK,156,area_code_510,0,0,0,123.7,96,21.03,103.0,80,8.76,189.4,82,8.52,13.1,4,3.54,1,0,41.85,429.20000000000005,263,0.09750698974836905
WI,166,area_code_510,0,0,0,173.9,103,29.56,276.4,83,23.49,190.8,113,8.59,15.3,5,4.13,0,0,65.77,656.3999999999999,304,0.10019804996953079
WA,75,area_code_510,0,1,41,130.9,115,22.25,203.4,110,17.29,171.7,68,7.73,12.4,4,3.35,1,0,50.62,518.4,298,0.09764660493827161
KY,75,area_code_415,0,0,0,314.6,102,53.48,169.8,86,14.43,285.1,100,12.83,5.7,3,1.54,2,1,82.28,775.2,293,0.10614035087719298
OH,83,area_code_510,0,0,0,227.9,78,38.74,207.5,115,17.64,211.7,100,9.53,12.1,5,3.27,1,0,69.17999999999999,659.1999999999999,299,0.10494538834951456
UT,243,area_code_510,0,0,0,95.5,92,16.24,163.7,63,13.91,264.2,118,11.89,6.6,6,1.78,2,0,43.82,530.0,281,0.08267924528301887
NM,153,area_code_408,0,0,0,185.3,127,31.5,208.0,73,17.68,206.1,124,9.27,15.1,3,4.08,1,0,62.53,614.5,328,0.10175752644426363
MN,150,area_code_415,0,0,0,146.3,133,24.87,202.7,95,17.23,234.7,103,10.56,13.1,3,3.54,1,0,56.2,596.8000000000001,335,0.09416890080428954
WV,92,area_code_510,0,1,16,184.0,99,31.28,76.4,134,6.49,185.1,96,8.33,12.7,3,3.43,2,0,49.53,458.2,334,0.1080969009166303
MN,80,area_code_415,0,0,0,105.8,110,17.99,43.9,88,3.73,189.6,87,8.53,13.1,5,3.54,0,0,33.79,352.4,290,0.09588535754824064
